number,question,choiceA,choiceB,choiceC,choiceD,correct_answer,explanation
28,Northern Trail Outfitters（NTO）は、あいまいな名前と正規化されたメールに基づくID解決ルールセットを設定しています。NTOは、最適なメールアドレスが有効化されるようにするために何をすべきでしょうか？,取引先責任者連絡先メールオブジェクトの有効項目を一致ルールとして含めます。,有効化でソース優先順位を使用して、目的のソースからの連絡先が有効化ターゲットに配信されるようにします。,Marketing Cloudがソース優先順位調整ルールで最初のデータソースとして優先されるようにします。,デフォルトの調整ルールを最終更新に設定します。,B,"A. 取引先責任者連絡先メールオブジェクトの有効項目を一致ルールとして含めます。- 有効項目を一致ルールに含めることは、メールアドレスの有効性を確認するのに役立ちますが、最適なメールアドレスの選択には直接影響しません。
B. 有効化でソース優先順位を使用して、目的のソースからの連絡先が有効化ターゲットに配信されるようにします。- 正解です。ソース優先順位を使用することで、信頼性の高いソースからのメールアドレスを優先的に選択できます。これにより、最適なメールアドレスが有効化ターゲットに配信されることを保証できます。
C. Marketing Cloudがソース優先順位調整ルールで最初のデータソースとして優先されるようにします。- Marketing Cloudを優先することは、特定のシナリオでは有効ですが、常に最適なメールアドレスを選択できるとは限りません。ソースの信頼性に基づいて優先順位を設定する必要があります。
D. デフォルトの調整ルールを最終更新に設定します。- 最終更新を調整ルールに設定することは、最新のデータを選択するのに役立ちますが、最適なメールアドレスの選択には直接影響しません。"
29,コンサルタントは、顧客注文からの住所詳細が統合プロファイルに保存するために最適に選択されるようにしたいと考えています。コンサルタントはこれを達成するために何をすべきでしょうか？,連絡先住所の詳細を選択します。特定の住所属性の調整ルールをソース優先順位に変更し、個人DMOを一番下に移動します。,連絡先住所のデフォルトの調整ルールを使用します。,連絡先住所の詳細を選択します。特定の住所属性の調整ルールをソース優先順位に変更し、注文DMOを一番上に移動します。,個人のデフォルトの調整ルールをソース優先順位に変更します。,C,"A. 連絡先住所の詳細を選択します。特定の住所属性の調整ルールをソース優先順位に変更し、個人DMOを一番下に移動します。- 個人DMOを一番下に移動すると、注文データよりも個人データが優先されなくなるため、顧客注文からの住所詳細を最適に選択できません。
B. 連絡先住所のデフォルトの調整ルールを使用します。- デフォルトの調整ルールでは、必ずしも最適な住所詳細が選択されるとは限りません。ソース優先順位を使用して、注文データを優先する必要があります。
C. 連絡先住所の詳細を選択します。特定の住所属性の調整ルールをソース優先順位に変更し、注文DMOを一番上に移動します。- 正解です。注文DMOを一番上に移動し、ソース優先順位を使用することで、顧客注文からの住所詳細を優先的に選択できます。これにより、最も正確で最新の住所情報が統合プロファイルに保存されます。
D. 個人のデフォルトの調整ルールをソース優先順位に変更します。- 個人のデフォルトの調整ルールを変更しても、注文データが優先されるわけではありません。注文DMOを優先的に設定する必要があります。"
30,コンサルタントは、以前に黒いパンツを購入した顧客向けに新製品の発売を発表するセグメントを作成しています。この基準を満たすために、コンサルタントは注文製品オブジェクトから製品の色と製品タイプの属性をどのように配置すべきですか？,製品色の属性を1つのコンテナに、製品タイプの属性を別のコンテナに配置します。,動的に適用される「黒」計算インサイトの属性を配置します。,製品と製品タイプの属性を直接属性として配置します。,製品色と製品タイプの属性を単一のコンテナに配置します。,D,"A. 製品色の属性を1つのコンテナに、製品タイプの属性を別のコンテナに配置します。- 別のコンテナに配置すると、「黒いパンツ」という特定の組み合わせを正確に表現できません。両方の条件を同時に満たす必要があるため、単一のコンテナに配置する必要があります。
B. 動的に適用される「黒」計算インサイトの属性を配置します。- 「黒」計算インサイトを使用することも可能ですが、直接属性を使用する方がシンプルで効率的です。
C. 製品と製品タイプの属性を直接属性として配置します。- 直接属性として配置すると、両方の属性を組み合わせることができません。特定の条件を満たすためには、コンテナを使用する必要があります。
D. 製品色と製品タイプの属性を単一のコンテナに配置します。- 正解です。単一のコンテナに両方の属性を配置することで、「黒いパンツ」という特定の組み合わせを正確に表現できます。これにより、セグメントは必要な顧客を正確にターゲットにできます。"
31,顧客にとってのData Cloudの主な価値は何ですか？,すべての匿名データの単一の信頼できる情報源を作成すること。,顧客の行動を聴き、理解し、行動することで、パーソナライズされたキャンペーンを作成すること。,すべてのシステムをゴールデンレコードで接続すること。,顧客とその関連データの統合ビューを提供すること。,D,"A. すべての匿名データの単一の信頼できる情報源を作成すること。- Data Cloudは匿名データだけでなく、個人識別情報（PII）を含む顧客データを統合します。
B. 顧客の行動を聴き、理解し、行動することで、パーソナライズされたキャンペーンを作成すること。- これはData Cloudの重要な機能の一つですが、主な価値ではありません。主な価値は、顧客データの統合と統一ビューの提供です。
C. すべてのシステムをゴールデンレコードで接続すること。- ゴールデンレコードはData Cloudの重要な概念ですが、主な価値はシステム接続ではなく、顧客データの統合です。
D. 顧客とその関連データの統合ビューを提供すること。- 正解です。Data Cloudの主な価値は、複数のソースからの顧客データを統合し、顧客とその関連データの統一されたビューを提供することです。これにより、企業は顧客をより深く理解し、より効果的な顧客体験を提供できます。"
32,コンサルタントがセグメントエラーのトラブルシューティングを行っています。ネストされたセグメントの代わりに計算インサイトを使用することで解決されるエラーメッセージはどれですか？,セグメントが複雑すぎます。,複数の人口カウントが進行中です。,セグメントの人口カウントに失敗しました。,セグメントを公開できません。,A,"A. セグメントが複雑すぎます。- 正解です。ネストされたセグメントは、特に複雑な条件や複数のレベルにわたる条件を扱う場合に、セグメントの複雑さを増大させ、エラーを引き起こす可能性があります。計算インサイトを使用することで、複雑な条件を事前に計算し、セグメントの複雑さを軽減できます。
B. 複数の人口カウントが進行中です。- このエラーは、セグメントの人口カウントが同時に複数実行されている場合に発生し、計算インサイトの使用とは直接関係ありません。
C. セグメントの人口カウントに失敗しました。- このエラーは、セグメントの人口カウント処理中に予期しない問題が発生した場合に発生し、計算インサイトの使用とは直接関係ありません。
D. セグメントを公開できません。- このエラーは、セグメントの公開に必要な条件が満たされていない場合に発生し、計算インサイトの使用とは直接関係ありません。"
33,組織が在庫管理システムからData Cloudに在庫レベルを高速かつスケーラブルなほぼリアルタイムの方法でストリーミングするために使用すべきものは何ですか？,クラウドストレージコネクタ,Commerce Cloudコネクタ,取り込みAPI,Marketing Cloudパーソナライズコネクタ,C,"A. クラウドストレージコネクタ - クラウドストレージコネクタは、クラウドストレージサービス（Amazon S3、Google Cloud Storageなど）からのバッチデータ取り込みに使用されます。リアルタイムのデータストリーミングには適していません。
B. Commerce Cloudコネクタ - Commerce Cloudコネクタは、Salesforce Commerce CloudからのデータをData Cloudに取り込むために使用されます。在庫管理システムからのリアルタイムデータストリーミングには適していません。
C. 取り込みAPI - 正解です。取り込みAPIは、リアルタイムまたはほぼリアルタイムのデータストリーミングに最適です。高速でスケーラブルなデータ取り込みをサポートし、在庫レベルなどの動的なデータをData Cloudにストリーミングするのに適しています。
D. Marketing Cloudパーソナライズコネクタ - Marketing Cloudパーソナライズコネクタは、Marketing Cloud PersonalizationからのデータをData Cloudに取り込むために使用されます。在庫管理システムからのリアルタイムデータストリーミングには適していません。"
34,カスタムSalesforce CRMオブジェクトが新規データストリーム構成で使用できない場合、コンサルタントはどの権限設定を確認する必要がありますか？,Data Cloud組織でオブジェクト作成権限が有効になっていることを確認します。,ソースSalesforce CRM組織でオブジェクトのすべての表示権限が有効になっていることを確認します。,Salesforce CRM組織でオブジェクト取り込み権限が有効になっていることを確認します。,Data Cloud組織でオブジェクト変更権限が有効になっていることを確認します。,B,"A. Data Cloud組織でオブジェクト作成権限が有効になっていることを確認します。- Data Cloud組織でのオブジェクト作成権限は、新しいオブジェクトを作成する権限であり、既存のCRMオブジェクトの表示には影響しません。
B. ソースSalesforce CRM組織でオブジェクトのすべての表示権限が有効になっていることを確認します。- 正解です。Data CloudがソースSalesforce CRM組織からオブジェクトを読み取るためには、ソース組織で「すべての表示」権限が必要です。この権限がない場合、オブジェクトはデータストリーム構成で使用できません。
C. Salesforce CRM組織でオブジェクト取り込み権限が有効になっていることを確認します。- オブジェクト取り込み権限は、特定のオブジェクトのデータを取り込むための権限ですが、オブジェクトの表示には直接影響しません。
D. Data Cloud組織でオブジェクト変更権限が有効になっていることを確認します。- Data Cloud組織でのオブジェクト変更権限は、Data Cloud内のオブジェクトを変更する権限であり、ソースCRMオブジェクトの表示には影響しません。"
35,Data Cloudは、Salesforce CRMやクラウドストレージなど、標準で多くのデータソースへの接続機能を提供しています。しかし、標準コネクタが提供されていない特定の外部システム（例：業界特化型アプリケーション、オンプレミスデータベース）からデータを取り込みたい場合、コンサルタントはどのような解決策を検討すべきでしょうか？,AppExchangeで提供されているサードパーティ製のData Cloudコネクタを探す。,データストリームタイプとして「Salesforce CRM」を選択し、手動で項目をマッピングする。,計算済みインサイトを使用して外部システムからデータを取得する。,アクティベーションターゲットとして外部システムを設定する。,A,"A. AppExchangeで提供されているサードパーティ製のData Cloudコネクタを探す。 - 正解です。Data Cloudが標準で提供するコネクタで対応できないデータソースの場合、Salesforce AppExchangeでパートナー企業が開発・提供している専用のコネクタが存在する可能性があります。これらを利用することで、コーディングなしに特定の外部システムからData Cloudへデータを連携できる場合があります。また、MuleSoft Anypoint PlatformやIngestion APIを利用したカスタム連携も選択肢となります。

B. データストリームタイプとして「Salesforce CRM」を選択し、手動で項目をマッピングする。 - Salesforce CRMコネクタは、SalesforceのCRM組織（Sales Cloud、Service Cloudなど）からデータを取り込むためのものであり、一般的な外部システムやオンプレミスデータベースへの接続には使用できません。

C. 計算済みインサイトを使用して外部システムからデータを取得する。 - 計算済みインサイトは、既にData Cloud内に存在するデータに基づいて新たな指標や属性を計算するための機能であり、外部システムからデータを取り込むためのコネクタ機能ではありません。

D. アクティベーションターゲットとして外部システムを設定する。 - アクティベーションターゲットは、Data Cloudで処理された結果（セグメントメンバーなど）を外部システムに送信するための設定です。外部システムからデータを取り込むためのものではありません。"
36,ユーザーはData Cloudでセグメントを作成し、有効化の作成プロセス中です。関連属性を選択する際に、個人に関連付けられていることがわかっている特定の属性セットを見つけることができません。これらの属性が利用できない理由を説明する記述はどれですか？,セグメントがプロファイルデータをセグメント化していません。,属性が別の有効化で使用されています。,目的の属性が異なる関連パスに存在します。,有効化には1対1の属性のみを含めることができます。,C,"A. セグメントがプロファイルデータをセグメント化していません。- セグメントがプロファイルデータをセグメント化していない場合、属性が利用できない可能性がありますが、特定の属性セットが見つからない理由としては不十分です。
B. 属性が別の有効化で使用されています。- 属性が別の有効化で使用されている場合でも、通常は利用可能です。有効化は属性の可用性を制限しません。
C. 目的の属性が異なる関連パスに存在します。- 正解です。Data Cloudのデータモデルでは、属性は異なる関連パスに存在することがあります。有効化で属性を利用するには、セグメントと属性が同じ関連パスを共有している必要があります。異なる関連パスにある属性は利用できません。
D. 有効化には1対1の属性のみを含めることができます。- 有効化には1対多の属性も含めることができます。1対1の属性のみという制限はありません。"
37,Data Cloudでは、異なるソースからのデータ構造を標準化し、相互運用性を高めるために共通のデータモデルが利用されます。Salesforceが提供し、Data Cloudの多くの標準機能（データマッピング、セグメンテーション、インサイトなど）の基盤となっているこのオープンソースのデータモデルは何と呼ばれますか？,CIM（Cloud Information Model）,DSO（Data Source Object）,DMO（Data Model Object）,SOQL（Salesforce Object Query Language）,A,"A. CIM（Cloud Information Model） - 正解です。CIMは、Salesforceが中心となって開発を進めているオープンソースの標準データモデルであり、様々なクラウドアプリケーションやデータソース間でのデータの一貫性と相互運用性を促進することを目的としています。Data Cloudのデータモデリングは、このCIMの概念に基づいて構築されており、多くの標準DMOがCIMに準拠しています。
B. DSO（Data Source Object） - DSOは、データストリームを通じて外部ソースから取り込まれたデータを、元のスキーマに近い形で一時的に格納するData Cloud内のオブジェクトです。標準データモデルそのものではありません。
C. DMO（Data Model Object） - DMOは、Data Cloud内で正規化され、分析やセグメンテーションなどに利用されるデータを格納するオブジェクトです。DMOはCIMに基づいて作成されることが推奨されますが、DMOという用語自体が標準データモデルの名前ではありません。
D. SOQL（Salesforce Object Query Language） - SOQLは、Salesforceプラットフォーム上のオブジェクトからデータを取得するためのクエリ言語です。データ構造を定義するデータモデルではありません。"
38,顧客は、特定のセグメントの有効化が失敗するたびに通知を受け取る必要があるという要件を持っています。コンサルタントはこのユースケースを解決するためにどの機能を使用すべきですか？,フロー,レポート,有効化アラート,ダッシュボード,C,"A. フロー - フローは、自動化されたビジネスプロセスを作成するために使用されますが、有効化の失敗に関する通知機能は直接提供しません。
B. レポート - レポートは、データの集計と表示に使用されますが、有効化の失敗に関するリアルタイム通知機能は提供しません。
C. 有効化アラート - 正解です。有効化アラートは、特定のセグメントの有効化が失敗した場合に通知を送信する機能です。この機能を使用することで、顧客は有効化の失敗をリアルタイムで把握し、迅速に対応できます。
D. ダッシュボード - ダッシュボードは、データの視覚的な概要を提供しますが、有効化の失敗に関するリアルタイム通知機能は提供しません。"
39,Northern Trail Outfittersは、Track My Runモバイルアプリからランナープロファイルとアクティビティログを抽出し、Data Cloudにロードするようにコンサルタントに依頼します。マーケティング部門は、過去90日間の履歴データが必要であり、今後利用可能になるすべての新規および更新データを必要としていることも示しています。ベストプラクティスとして、コンサルタントはこのリクエストを実装するためにどのようなアクションシーケンスを使用すべきですか？,過去90日間のデータを最初にロードするために一括取り込みを使用し、今後利用可能になる将来のデータを同期するために一括取り込みを継続的に使用します。,過去90日間のデータを最初にロードするためにストリーミング取り込みを使用し、今後利用可能になる将来のデータを同期するためにストリーミング取り込みを継続的に使用します。,過去90日間のデータを最初にロードするためにストリーミング取り込みを使用し、今後利用可能になる将来のデータを同期するために一括取り込みを使用します。,過去90日間のデータを最初にロードするために一括取り込みを使用し、今後利用可能になる将来のデータを同期するためにストリーミング取り込みを使用します。,D,"A. 過去90日間のデータを最初にロードするために一括取り込みを使用し、今後利用可能になる将来のデータを同期するために一括取り込みを継続的に使用します。- 一括取り込みは、大量の履歴データを効率的にロードするのに適していますが、リアルタイムのデータ更新には適していません。
B. 過去90日間のデータを最初にロードするためにストリーミング取り込みを使用し、今後利用可能になる将来のデータを同期するためにストリーミング取り込みを継続的に使用します。- ストリーミング取り込みは、リアルタイムのデータ更新には適していますが、大量の履歴データを最初にロードするには効率が悪い場合があります。
C. 過去90日間のデータを最初にロードするためにストリーミング取り込みを使用し、今後利用可能になる将来のデータを同期するために一括取り込みを使用します。- 履歴データをストリーミングでロードするのは効率が悪く、将来のデータを一括で同期するのはリアルタイム性に欠けます。
D. 過去90日間のデータを最初にロードするために一括取り込みを使用し、今後利用可能になる将来のデータを同期するためにストリーミング取り込みを使用します。- 正解です。過去90日間の大量の履歴データを最初にロードするには、一括取り込みが効率的です。その後、リアルタイムのデータ更新を同期するために、ストリーミング取り込みを使用するのがベストプラクティスです。"
40,Marketing Cloudの購読者プロファイル属性をData Cloudに毎日取り込む簡単な方法を提供するソリューションはどれですか？,Automation StudioとプロファイルファイルAPI,Marketing Cloud Connect API,Marketing Cloudデータ拡張データストリーム,Email Studioスターターデータバンドル,C,"A. Automation StudioとプロファイルファイルAPI - Automation StudioとプロファイルファイルAPIは、Marketing Cloudからデータをエクスポートし、Data Cloudに取り込むために使用できますが、毎日の自動取り込みを簡単に行う方法ではありません。
B. Marketing Cloud Connect API - Marketing Cloud Connect APIは、Marketing CloudとSalesforce CRM間のデータ統合に使用されます。Data Cloudへの直接的なデータ取り込みには適していません。
C. Marketing Cloudデータ拡張データストリーム - 正解です。Marketing Cloudデータ拡張データストリームは、Marketing Cloudの購読者プロファイル属性をData Cloudに毎日自動的に取り込む簡単な方法を提供します。データストリームを設定することで、毎日のデータ取り込みを自動化できます。
D. Email Studioスターターデータバンドル - Email Studioスターターデータバンドルは、Email Studioの基本的なデータ連携を提供しますが、購読者プロファイル属性の毎日の取り込みには適していません。"
41,Cumulus Financialは、各顧客の毎日の取引量をリアルタイムで追跡し、顧客の通常範囲外の量を検出するとすぐに通知を送信したいと考えています。コンサルタントはこのリクエストに対応するために何をすべきでしょうか？,計算インサイトとフローを組み合わせる。,ストリーミングデータ変換とフローを組み合わせる。,ストリーミングインサイトとデータアクションを組み合わせる。,ストリーミングデータ変換とデータアクションを組み合わせる。,C,"A. 計算インサイトとフローを組み合わせる。- 計算インサイトは、バッチデータに基づいて計算を行うため、リアルタイムの取引量追跡には適していません。フローは、自動化されたビジネスプロセスを実行しますが、リアルタイムのデータ監視と通知には直接対応していません。
B. ストリーミングデータ変換とフローを組み合わせる。- ストリーミングデータ変換は、リアルタイムのデータ処理に適していますが、直接的な通知機能は提供しません。フローは、通知機能を実行できますが、リアルタイムのデータ監視にはストリーミングインサイトが必要です。
C. ストリーミングインサイトとデータアクションを組み合わせる。- 正解です。ストリーミングインサイトは、リアルタイムのデータストリームを監視し、特定の条件が満たされた場合にアラートを生成します。データアクションは、アラートに基づいて通知を送信するなどのアクションを実行できます。これにより、顧客の取引量が通常範囲外になった場合にリアルタイムで通知を送信できます。
D. ストリーミングデータ変換とデータアクションを組み合わせる。- ストリーミングデータ変換は、リアルタイムのデータ処理に適していますが、直接的な監視と通知機能は提供しません。データアクションは、アクションを実行できますが、リアルタイムのデータ監視にはストリーミングインサイトが必要です。"
42,顧客は、取引先統合全体の統合率が低いことに気付きました。取引先を個人および取引先責任者電話メールDMOにマッピングしました。統合率を向上させるために何をすべきでしょうか？,調整ルールを最頻値に変更します。,個人IDルールセットを無効にします。,一致ルールの数を増やします。,データソースで取引先住所の詳細を更新します。,C,"A. 調整ルールを最頻値に変更します。- 調整ルールを最頻値に変更することは、統合率に影響を与える可能性がありますが、アカウント統合の主な問題解決策ではありません。
B. 個人IDルールセットを無効にします。- 個人IDルールセットを無効にすると、個人レベルでの統合が停止し、アカウント統合には影響を与えません。
C. 一致ルールの数を増やします。- 正解です。一致ルールの数を増やすことで、より多くの取引先を統合できる可能性が高まります。特に、アカウント統合において、より多くの一致条件を設定することは統合率を向上させる効果的な方法です。
D. データソースで取引先住所の詳細を更新します。- 取引先住所の詳細を更新することは、データ品質を向上させる上で重要ですが、アカウント統合の主な問題解決策ではありません。"
43,Universal Containersは、現在利用しているSalesforce Sales Cloudの取引先、取引先責任者、商談データをData Cloudに取り込み、他のデータソースと統合して顧客の全体像を把握したいと考えています。Sales CloudのデータをData Cloudに連携させるために、最も一般的に使用される標準的な接続方法はどれでしょうか？,Marketing Cloudコネクタ,Salesforce CRMコネクタ,MuleSoft Anypoint Platform,Interaction Studioコネクタ,B,"A. Marketing Cloudコネクタ - Marketing Cloudコネクタは、Marketing Cloud EngagementやMarketing Cloud Account Engagement（旧Pardot）などのマーケティング関連のデータをData Cloudに取り込むために使用されます。Sales CloudのCRMデータを直接取り込むための主要なコネクタではありません。
B. Salesforce CRMコネクタ - 正解です。Salesforce CRMコネクタは、Data Cloudが標準で提供するコネクタであり、Sales CloudやService Cloudが稼働しているSalesforce組織から標準オブジェクト（取引先、取引先責任者、商談、ケースなど）やカスタムオブジェクトのデータを簡単にData Cloudへ連携させるために最も一般的に利用されます。
C. MuleSoft Anypoint Platform - MuleSoftは強力なシステム連携プラットフォームであり、Data Cloudへのデータ連携にも利用できますが、Salesforce CRM内のデータを取り込むだけであれば、通常は標準のSalesforce CRMコネクタの方がより簡単で直接的な方法です。MuleSoftはより複雑な変換やオーケストレーションが必要な場合に適しています。
D. Interaction Studioコネクタ - Interaction Studio（現Marketing Cloud Personalization）コネクタは、Marketing Cloud PersonalizationからリアルタイムのWeb行動データなどをData Cloudに取り込むために使用されます。Sales CloudのCRMデータを取り込むためのものではありません。"
44,顧客が個人データの削除を要求しています。コンサルタントはData Cloudでこの要求に対応するためにどのようなアクションを取るべきですか？,ストリーミングAPI呼び出しを使用して顧客の情報を削除します。,プロファイルエクスプローラーを使用してData Cloudから顧客データを削除します。,同意APIを使用して顧客情報の削除を要求します。,データ権利主体要求ツールを使用して顧客情報の削除を要求します。,C,"A. ストリーミングAPI呼び出しを使用して顧客の情報を削除します。- ストリーミングAPIは、リアルタイムのデータ処理に使用されますが、個人データの削除要求を処理するための適切なツールではありません。
B. プロファイルエクスプローラーを使用してData Cloudから顧客データを削除します。- プロファイルエクスプローラーは、プロファイルデータを表示および分析するためのツールであり、個人データの削除要求を処理するためのものではありません。
C. 同意APIを使用して顧客情報の削除を要求します。- 正解です。同意APIは、顧客の同意およびデータ権利要求を管理するために使用されます。個人データの削除要求を処理するために、同意APIを使用する必要があります。
D. データ権利主体要求ツールを使用して顧客情報の削除を要求します。- データ権利主体要求ツールは、顧客がデータ権利要求を送信するためのツールですが、Data Cloud内で直接削除要求を処理するものではありません。削除要求の処理には、同意APIを使用する必要があります。"
45,Data CloudのWebおよびモバイルアプリケーションコネクタに関する記述のうち、正しいものはどれですか？,コネクタの設定時に、イベント、プロファイル、トランザクションデータを含む標準スキーマが作成されます。,テナント固有のエンドポイントは、コネクタの設定時にData Cloudで自動生成されます。,コネクタに関連付けられたデータストリームは、Data Cloud設定からアプリを削除すると自動的に削除されます。,コネクタスキーマは、既存のフィールドを削除するように更新できます。,B,"A. コネクタの設定時に、イベント、プロファイル、トランザクションデータを含む標準スキーマが作成されます。- コネクタの設定時に標準スキーマが自動的に作成されるわけではありません。スキーマは、取り込むデータに基づいてユーザーが定義する必要があります。
B. テナント固有のエンドポイントは、コネクタの設定時にData Cloudで自動生成されます。- 正解です。Webおよびモバイルアプリケーションコネクタを設定する際、Data Cloudはテナント固有のエンドポイントを自動的に生成します。このエンドポイントを使用して、アプリケーションからData Cloudにデータを送信します。
C. コネクタに関連付けられたデータストリームは、Data Cloud設定からアプリを削除すると自動的に削除されます。- アプリを削除しても、関連するデータストリームは自動的に削除されません。データストリームは手動で削除する必要があります。
D. コネクタスキーマは、既存のフィールドを削除するように更新できます。- コネクタスキーマは、フィールドの追加や変更は可能ですが、既存のフィールドを削除することはできません。"
46,Data Cloudで「高エンゲージメント顧客」セグメントを作成し、Marketing Cloud Engagementをアクティベーションターゲットとして設定しました。セグメントの公開スケジュールが「毎日」に設定されている場合、アクティベーションターゲットであるMarketing Cloud Engagementのデータエクステンション（または他のリスト）のメンバーは、通常どのように更新されますか？,セグメントのメンバーが変更されるたびにリアルタイムで更新される。,セグメントの公開スケジュール（この場合は毎日）に従って、その時点での最新メンバーリストに更新される。,Data Cloudコンサルタントが手動で更新操作を行った場合にのみ更新される。,アクティベーションターゲットの設定時に一度だけ同期され、その後は更新されない。,B,"A. セグメントのメンバーが変更されるたびにリアルタイムで更新される。 - Data Cloudのセグメント評価とアクティベーションプロセスは、通常、設定されたスケジュールに基づいて実行されるバッチ処理です。メンバーシップの変更が即座にリアルタイムでアクティベーションターゲットに反映されるわけではありません。

B. セグメントの公開スケジュール（この場合は毎日）に従って、その時点での最新メンバーリストに更新される。 - 正解です。セグメントに公開スケジュール（例：毎日、毎週）を設定すると、そのスケジュールに従ってData Cloudはセグメントのメンバーシップを再評価します。その後、アクティベーションが実行されると、アクティベーションターゲット（例：Marketing Cloudのデータエクステンション）の内容が、その時点での最新のセグメントメンバーリストで更新（上書きまたは差分更新）されます。

C. Data Cloudコンサルタントが手動で更新操作を行った場合にのみ更新される。 - セグメントの公開やアクティベーションはスケジュールに基づいて自動実行できるため、毎回手動で操作する必要はありません。手動での実行も可能ですが、それが唯一の方法ではありません。

D. アクティベーションターゲットの設定時に一度だけ同期され、その後は更新されない。 - アクティベーションは通常、継続的な連携を目的としており、設定されたスケジュールに従って定期的にターゲットシステムを更新します。一度だけの同期ではありません。"
47,Data Cloudのアイデンティティ解決プロセスにおいて、一度作成された統合プロファイルが、後から連携されたより信頼性の高いデータや、顧客からの情報の訂正・削除依頼などによって、分割されたり、他のプロファイルと再結合されたりする必要が出てくる場合があります。このような状況に対応し、統合プロファイルの構成を動的に調整するために使用されるルールは何でしょうか？,マッチルール (Match Rule),正規化ルール (Normalization Rule),セグメントルール (Segmentation Rule),再調整ルール (Reconciliation Rule),D,"A. マッチルール (Match Rule) - マッチルールは、どのソースレコードが同じ個人に属するかを最初に特定するためのルールです。既に作成された統合プロファイルを後から調整するルールではありません。

B. 正規化ルール (Normalization Rule) - 正規化ルールは、データを取り込む際や照合する前に、データ形式を統一するためのルール（例：電話番号のフォーマット統一）であり、プロファイルの構成を調整するものではありません。

C. セグメントルール (Segmentation Rule) - セグメントルールは、特定の条件に基づいて統合プロファイルをグループ化するためのルールであり、プロファイル自体の統合や分割を制御するものではありません。

D. 再調整ルール (Reconciliation Rule) - 正解です。再調整ルールは、アイデンティティ解決プロセスにおいて、初期の統合後に状況が変化した場合（例：より信頼性の高い識別子を持つデータが後から連携された、顧客からデータの訂正・削除要求があったなど）に、統合プロファイルの構成を見直し、必要に応じてプロファイルを分割したり、これまで別々だったプロファイルを新たに結合したりするためのロジックを定義します。"
48,Northern Trail Outfittersは、Data Cloudに取り込むために、毎日Amazon S3バケットに新しい顧客データをアップロードします。新しくインポートされたデータがすべてのセグメントで使用できるように準備完了となるように、各プロセスをどのような順序で実行する必要がありますか？,計算インサイト > データストリームの更新 > ID解決,データストリームの更新 > 計算インサイト > ID解決,ID解決 > データストリームの更新 > 計算インサイト,データストリームの更新 > ID解決 > 計算インサイト,D,"A. 計算インサイト > データストリームの更新 > ID解決 - データストリームの更新前に計算インサイトを実行すると、古いデータに基づいて計算が行われるため、最新のデータを使用できません。
B. データストリームの更新 > 計算インサイト > ID解決 - ID解決前に計算インサイトを実行すると、統合されていないデータに基づいて計算が行われるため、正確な結果が得られない可能性があります。
C. ID解決 > データストリームの更新 > 計算インサイト - データストリームを更新する前にID解決を実行すると、古いデータに基づいて統合が行われるため、最新のデータを使用できません。
D. データストリームの更新 > ID解決 > 計算インサイト - 正解です。まずデータストリームを更新して最新のデータを取り込み、次にID解決を実行してデータを統合し、最後に計算インサイトを実行して統合されたデータに基づいて計算を行う必要があります。この順序により、最新の統合されたデータに基づいてセグメントが使用できるようになります。"
49,Universal Containersは、Data Cloudに蓄積された顧客の購買履歴データとWebサイト行動データを利用して、各顧客の「生涯価値（LTV - Lifetime Value）」や「エンゲージメントスコア」といった指標を計算し、セグメンテーションやパーソナライゼーションに活用したいと考えています。Data Cloud内で、定義に基づいて集計や計算を行い、これらの指標を作成する機能は何でしょうか？,データストリーム,アクティベーション,計算済みインサイト,アイデンティティ解決,C,"A. データストリーム - データストリームは、様々なデータソースからData Cloudへデータを継続的に取り込むための接続設定です。指標の計算を行う機能ではありません。
B. アクティベーション - アクティベーションは、Data Cloudで作成されたセグメントやインサイトの結果を、外部のマーケティングツールやSalesforceアプリケーションに送信するためのプロセスです。指標の計算自体を行うものではありません。
C. 計算済みインサイト - 正解です。計算済みインサイトは、Data Cloud内のデータモデルオブジェクト（DMO）に格納されたデータを使用して、SQLに似た関数や演算子を用いて複雑な集計や計算（例：合計、平均、ウィンドウ関数など）を行い、顧客の生涯価値（LTV）やエンゲージメントスコアといった新しいインサイト（指標や属性）を生成する機能です。
D. アイデンティティ解決 - アイデンティティ解決は、異なるデータソースからの顧客レコードを照合し、単一の統合プロファイルを作成するプロセスです。指標の計算を行う機能ではありません。"
50,顧客はSalesforce CRMとリアルタイムで統合する必要があります。この要件を達成する機能はどれですか？,ストリーミング変換,データモデルトリガー,Sales and Serviceバンドル,データアクションとLightning Webコンポーネント,A,"A. ストリーミング変換 - 正解です。ストリーミング変換は、リアルタイムでデータを処理し、Salesforce CRMとの統合に必要なデータ変換を即座に行うことができます。
B. データモデルトリガー - データモデルトリガーは、データモデル内の変更に基づいてアクションを実行しますが、リアルタイムのデータ統合には適していません。トリガーは通常、非同期的に実行されます。
C. Sales and Serviceバンドル - Sales and Serviceバンドルは、Salesforceのセールスおよびサービス機能をData Cloudと統合するためのプリパッケージされたデータセットと設定ですが、リアルタイム統合を直接提供するものではありません。
D. データアクションとLightning Webコンポーネント - データアクションとLightning Webコンポーネントは、Data CloudからSalesforce CRMへのアクションをトリガーするために使用できますが、リアルタイムのデータ統合を直接提供するものではありません。ストリーミング変換は、リアルタイムのデータ処理と統合に特化しています。"
